location,latitude,longitude,pagenumber,map_order,pagenumber_first,pagenumber_last,loc_name_shelley,loc_name_18c,loc_name_modern,loc_type,action_emotive_victor,action_emotive_creature,action_emotive_walton,action_emotive_clerval,action_emotive_alphonse,action_emotive_caroline,action_emotive_elizabeth,action_emotive_william,action_emotive_justine,action_emotive_felix,action_emotive_safie,action_emotive_agatha,action_emotive_delacey,action_emotive_waldman,action_emotive_krempe,action_emotive_kirwin,action_emotive_ernest,action_physical_victor,action_physical_creature,action_physical_walton,action_physical_clerval,action_physical_alphonse,action_physical_caroline,action_physical_elizabeth,action_physical_william,action_physical_justine,action_physical_felix,action_physical_safie,action_physical_agatha,action_physical_waldman,action_physical_krempe,action_physical_kirwin,action_physical_ernest,nature_setting,nature_loc,nature_aesthetic,nature_weather,nature_time,nature_topography,name_narrator,name_actant1,name_actant2,name_actant3,name_actant4,name_actant5,name_ref1,name_ref2,name_ref3,name_ref4,name_ref5,name_book1,name_book2,name_book3,name_book4,name_book5,extract,,,,,,
111Valaisch17,46.190461,7.544922,11,,110,112,mountains of Valais,Kanton Wallis,Canon of Valais,loc_projected,contentment,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_beautiful,nature_weather_na,nature_time_day,nature_mountain,Victor,Victor,Clerval,,,,,,,,,,,,,,"“’I have seen,’ he said, ‘the most beautiful scenes of my own country; I have visited the lakes of Lucerne and Uri… I have seen the mountains of La Valais and the Pays de Vaud: but this country, Victor, pleases me more than all those wonders. The mountains of Switzerland are more majestic and strange; but these is a charm in the banks of this divine river, that I never before saw equaled.’”",,,,,,
26Ingolstadtv1ch2,48.76835528,11.425,26,,26,26,Ingolstadt,Ingoftadt,Ingolstadt,loc_zone,sadness,,,,sadness,,pride,sadness,,,,,,,,,,action_phyiscal_travelling,,,,,,action_physical_confrontation,action_physical_learningcollectively,,,,,,,,,nature_setting_city,nature_loc_exterior,nature_aesthetic_na,nature_weather_na,,nature_na,Victor,Victor,Alphonse,Elizabeth,William,Ernest,Caroline,,,,,,,,,,"""My journey to Ingolstadt, which had been deferred by these events, was now again determined upon. I obtained from my father a reprieve of some weeks. This period was spent sadly...""",,,,,,
28Homev1ch2,48.7625,11.41944444,28,,28,28,"""Home"" [Victor's Solitary Apartment]",,,loc_action,contempt,,,,,,,,,,,,,,,,,action_phyiscal_travelling,,,,,,,,,,,,,,,,nature_setting_city,nature_loc_interior,nature_aesthetic_na,nature_weather_na,,nature_na,Victor,Victor,,,,,Krempe,Waldman,,,,,,,,,"""I returned home, not disappointed, for I had long considered those authors useless whom the professor had so strongly reprobated; but I did not feel much inclined to study the books which I procured at his recommendation.""",,,,,,
64Servoxch8,45.940079,6.767825,64,,64,64,Servox,Valley of Servox,Servoz,loc_path,contentment,,,,happiness,,happiness,,,,,,,,,,,action_phyiscal_travelling,,,,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_beautiful,,,nature_valley,,,,,,,,,,,,,,,,,"""Soon after we entered the valley of Chamounix. This valley is more won- 
derful and sublime, but not so beautiful and picturesque as 
that of Servox, through which we had just passed. The high 
and snowy mountains were its immediate boundaries; but 
we saw no more ruined castles and fertile fields. Immense 
glaciers approached the road; we heard the rumbling thun- 
der of the falling avalanche, and marked the smoke of its 
passage. Mont Blanc, the supreme and magnificent Mont 
Blanc, raised itself from the surrounding aiguilles, and its 
tremendous dome overlooked the valley."" ",,,,,,
64valleyofChamounixch8,45.8932,6.798,64,,64,65,Valley of Chamounix,Valley of Chamounix,Valley of Chamounix,loc_path,contentment,,,,enthusiasm,,enthusiasm,,,,,,,,,,,action_phyiscal_travelling,,,,,,,,,,,,,,,,nature_setting_rural,nature_loc_exterior,nature_aesthetic_sublime,,nature_time_day,nature_valley,Victor,Victor,Elizabeth,Alphonse,Ernest,,,,,,,,,,,,"""Soon after we entered the valley of Chamounix. This valley is more won- 
derful and sublime, but not so beautiful and picturesque as 
that of Servox, through which we had just passed. The high 
and snowy mountains were its immediate boundaries; but 
we saw no more ruined castles and fertile fields. Immense 
glaciers approached the road; we heard the rumbling thun- 
der of the falling avalanche, and marked the smoke of its 
passage. Mont Blanc, the supreme and magnificent Mont 
Blanc, raised itself from the surrounding aiguilles, and its 
tremendous dome overlooked the valley."" ",,,,,,
64Genevach8,46.2044,6.1432,64,,64,64,Geneva,Genève,Genève,loc_path,contentment,,,,enthusiasm,,enthusiasm,,,,,,,,,,,action_phyiscal_travelling,,,,,,,,,,,,,,,,nature_setting_city,,nature_aesthetic_na,nature_weather_clear,,nature_valley,Victor,Victor,Elizabeth,Ernest,Alphonse,,Justine,,,,,,,,,,"""Accordingly we departed from Geneva on this tour about the middle of the month of August, nearly two months after the death of Justine. 

The weather was uncommonly fine;""",,,,,,
64RiverArvev2ch1,45.913369,6.773329,64,,64,64,river Arve,Arve,L'Arve,loc_path,sadness,,,,contentment,,contentment,,,,,,,,,,,action_phyiscal_travelling,,,,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_sublime,,,nature_river,Victor,Victor,Elizabeth,Aphonse,Ernest,,,,,,,,,,,,"""In the morning we had seen the mountains at a distance, towards which we gradually advanced. We perceived that the valley through which we wound, and which was formed by the river Arve, whose course we followed, closed in upon us by degrees; and when the sun had set, we beheld immense mountains 
and precipices overhanging us on every side, and heard the sound of the river raging among rocks, and the dashing of water-falls around."" ",,,,,,
65sourceofArveironv2ch2,45.941837,6.919902,65,,65,65,Source of the Arveiron,,Torrent des Drus,loc_path,contentment,,,,,,,,,,,,,,,,,action_phyiscal_travelling,,,,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_sublime,,nature_time_day,nature_mountain,Victor,Victor,Elizabeth,Aphonse,Ernest,,,,,,,,,,,,"""The next day, contrary to the prognostications of our guides, was fine, although clouded. We visited the source of the Arveiron, and rode about the valley until evening. These sublime and magnificent scenes afforded me the greatest consolation that I was capable of receiving. They elevated me from all littleness of feeling; and although they did not remove my grief, they subdued and tranquillized it. In some degree, also, they diverted my mind from the thoughts over which it had brooded for the last month. I returned in the evening, fatigued, but less unhappy, and conversed with my family with more cheerfulness than had been my custom for some time. My father was pleased, and Elizabeth overjoyed. 'My dear cousin,' said she, 'you see what happiness you diffuse when you are happy; do not relapse again!'""",,,,,,
65Chamounixv2ch1,45.9237,6.8694,65,,65,65,Chamounix,Chamounix,Chamonix,loc_path,sadness,,,,contentment,,contentment,,,,,,,,,,,action_phyiscal_travelling,,,,,,,,,,,,,,,,nature_setting_city,nature_loc_interior,nature_aesthetic_na,,nature_time_night,nature_valley,Victor,Victor,Elizabeth,Alphonse,Ernest,,,,,,,,,,,,"""When at a distance, I alighted, and threw myself on the grass, weighed 
down by horror and despair. At eight in the evening I arrived at Chamounix. My father and Elizabeth were very much fatigued; Ernest, who accompanied us, was delighted, and in high spirits: the only circumstance that detracted from 
his pleasure was the south wind, and the rain it seemed to promise for the next day. 

We retired early to our apartments, but not to sleep; 
at least I did not. I remained many hours at the window, 
watching the pallid lightning that played above Mont Blanc, 
and listening to the rushing of the Arve, which ran below my 
window.""",,,,,,
66summitofmontanvertv2ch2,45.923283,6.911088,66,,65,67,Montanvert,,,loc_path,sadness,,,,,,,,,,,,,,,,,action_phyiscal_travelling,,,,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_sublime,,nature_time_day,nature_mountain,Victor,Victor,,,,,,,,,,"Mutability, Percy Shelly (1816). ",,,,,"""The following morning the rain poured down in torrents, and thick mists hid the summits of the mountains. I rose early, but felt unusually melancholy. ...I resolved to go alone to the summit of Montanvert. I remembered the effect that the view of the tremendous and ever-moving glacier had produced upon my mind when I first saw it. It had then filled me with a sublime ecstacy that gave wings to the soul, and allowed it to soar from the obscure world to light and joy....

'We rest; a dream has power to poison sleep. 
We rise; one wand'ring thought pollutes the day. 
We feel, conceive, or reason; laugh, or weep, 
Embrace fond woe, or cast our cares away; 
It is the same: for, be it joy or sorrow, 
The path of its departure still is free. 
Man's yesterday may ne'er be like his morrow; 
Nought may endure but mutability!' 

It was nearly noon when I arrived at the top of the ascent. For some time I sat upon the rock that overlooks the sea of ice. A mist covered both that and the surrounding mountains. Presently a breeze dissipated the cloud, and I descended upon the glacier."" ",,,,,,
